[0.000000] (-) TimerEvent: {}
[0.000473] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000486] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000500] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000513] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000526] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000539] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000552] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000565] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000578] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000591] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000604] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.000617] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.000631] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000644] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000657] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000670] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.000683] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.000696] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.000710] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.000723] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.000736] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.000749] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.000762] (-) JobUnselected: {'identifier': 'new_configuration'}
[0.000775] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.000788] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.000801] (-) JobUnselected: {'identifier': 'rosparam_shortcuts'}
[0.000814] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.000827] (-) JobUnselected: {'identifier': 'srdfdom'}
[0.000840] (-) JobUnselected: {'identifier': 'ur'}
[0.000853] (-) JobUnselected: {'identifier': 'ur3e'}
[0.000906] (-) JobUnselected: {'identifier': 'ur3e_motion_package'}
[0.000921] (-) JobUnselected: {'identifier': 'ur_bringup'}
[0.000934] (-) JobUnselected: {'identifier': 'ur_calibration'}
[0.000947] (-) JobUnselected: {'identifier': 'ur_controllers'}
[0.000960] (-) JobUnselected: {'identifier': 'ur_dashboard_msgs'}
[0.000979] (-) JobUnselected: {'identifier': 'ur_moveit_config'}
[0.001033] (-) JobUnselected: {'identifier': 'ur_robot_driver'}
[0.001050] (moveit_task_constructor_core) JobQueued: {'identifier': 'moveit_task_constructor_core', 'dependencies': OrderedDict([('launch_param_builder', '/home/vinayak/ws_moveit2/install/launch_param_builder'), ('moveit_common', '/home/vinayak/ws_moveit2/install/moveit_common'), ('moveit_resources_fanuc_description', '/home/vinayak/ws_moveit2/install/moveit_resources_fanuc_description'), ('moveit_resources_panda_description', '/home/vinayak/ws_moveit2/install/moveit_resources_panda_description'), ('moveit_resources_pr2_description', '/home/vinayak/ws_moveit2/install/moveit_resources_pr2_description'), ('moveit_resources_prbt_support', '/home/vinayak/ws_moveit2/install/moveit_resources_prbt_support'), ('moveit_task_constructor_msgs', '/home/vinayak/ws_moveit2/install/moveit_task_constructor_msgs'), ('srdfdom', '/home/vinayak/ws_moveit2/install/srdfdom'), ('moveit_configs_utils', '/home/vinayak/ws_moveit2/install/moveit_configs_utils'), ('moveit_resources_fanuc_moveit_config', '/home/vinayak/ws_moveit2/install/moveit_resources_fanuc_moveit_config'), ('moveit_resources_panda_moveit_config', '/home/vinayak/ws_moveit2/install/moveit_resources_panda_moveit_config'), ('rviz_marker_tools', '/home/vinayak/ws_moveit2/install/rviz_marker_tools'), ('moveit_core', '/home/vinayak/ws_moveit2/install/moveit_core'), ('moveit_resources_prbt_ikfast_manipulator_plugin', '/home/vinayak/ws_moveit2/install/moveit_resources_prbt_ikfast_manipulator_plugin'), ('moveit_ros_occupancy_map_monitor', '/home/vinayak/ws_moveit2/install/moveit_ros_occupancy_map_monitor'), ('moveit_simple_controller_manager', '/home/vinayak/ws_moveit2/install/moveit_simple_controller_manager'), ('pilz_industrial_motion_planner_testutils', '/home/vinayak/ws_moveit2/install/pilz_industrial_motion_planner_testutils'), ('moveit_ros_planning', '/home/vinayak/ws_moveit2/install/moveit_ros_planning'), ('moveit_kinematics', '/home/vinayak/ws_moveit2/install/moveit_kinematics'), ('moveit_planners_ompl', '/home/vinayak/ws_moveit2/install/moveit_planners_ompl'), ('moveit_ros_warehouse', '/home/vinayak/ws_moveit2/install/moveit_ros_warehouse'), ('moveit_ros_move_group', '/home/vinayak/ws_moveit2/install/moveit_ros_move_group'), ('moveit_resources_prbt_moveit_config', '/home/vinayak/ws_moveit2/install/moveit_resources_prbt_moveit_config'), ('moveit_ros_planning_interface', '/home/vinayak/ws_moveit2/install/moveit_ros_planning_interface'), ('moveit_resources_prbt_pg70_support', '/home/vinayak/ws_moveit2/install/moveit_resources_prbt_pg70_support'), ('pilz_industrial_motion_planner', '/home/vinayak/ws_moveit2/install/pilz_industrial_motion_planner'), ('moveit_planners', '/home/vinayak/ws_moveit2/install/moveit_planners')])}
[0.001096] (moveit_task_constructor_core) JobStarted: {'identifier': 'moveit_task_constructor_core'}
[0.012392] (moveit_task_constructor_core) JobEnded: {'identifier': 'moveit_task_constructor_core', 'rc': 1}
[0.022715] (-) EventReactorShutdown: {}
